Лев;23 июля — 22 августа;Успейте отступить прежде, чем вы серьезно обидите кого-то, кто вам небезразличен. Сегодня вам придется контролировать себя каждую секунду, чтобы не наговорить лишнего.
Дева;23 августа — 22 сентября;Не стоит сегодня забывать, что вы не зверь из зоопарка и что никакая клетка не мешает вам покинуть то место, которое вам до смерти осточертело.
Весы;23 сентября — 22 октября;Готовы вы к этому или нет, но сегодня непременно что-то изменится. Будем надеяться, что это будет погода.
Скорпион;23 октября — 21 ноября;Сегодня исключительно благоприятный день для того, чтобы, не тратя значительных сил и средств, умудриться достигнуть желаемого и даже успеть немного возгордиться собственными успехами.
Стрелец;22 ноября — 21 декабря;Сегодня у вас будет реальный шанс сделать мир прекраснее. Правда, не очень понятно, в чем он будет заключаться, но, надо думать, вы и сами догадаетесь.
Козерог;22 декабря — 20 января;Все течет, все меняется, и вам все равно от этого никуда не деться. Сегодня что-то изменится в очередной раз.
Водолей;21 января — 18 февраля;Вы стремитесь следовать сразу во всех направлениях и искренне удивлены тем, что это не слишком хорошо получается. Придется чем-то пожертвовать, установите приоритеты.
Рыбы;19 февраля — 20 марта;Сегодня, к сожалению, ваши прекрасные идеи, сколь бы верными и своевременными они не были, большого толку не принесут. Их лучше не озвучивать по крайней мере до завтра, чтобы не пришлось потом повторяться.
Овен;21 марта — 19 апреля;Сегодня вы можете стать предметом насмешек, однако это вовсе не означает, что что-то делаете неверно. Бог с ними, с убогими, пусть веселятся.
Телец;20 апреля — 20 мая;Сегодня ваша задача - понять, а не изменить ситуацию. Поняв, вы сможете к ней приспособиться, а это обойдется гораздо меньшими усилиями, нежели любая, даже самая минимальная попытка внести коррективы. И, кстати, принесет куда больше пользы.
Близнецы;21 мая — 20 июня;Хотеть не вредно, однако только хотеть, ничего для исполнения желания не делая, все-таки не слишком полезно. Сделайте первый шаг - а там уж как повезет.
Рак;21 июня — 22 июля;Сегодня вы можете познакомится с чрезвычайно интересными людьми, которые раскроют перед вами новые, просто таки чарующие перспективы. Будьте внимательны, вы можете оказаться жертвой обыкновенных жуликов.
Лев;23 июля — 22 августа;Успейте отступить прежде, чем вы серьезно обидите кого-то, кто вам небезразличен. Сегодня вам придется контролировать себя каждую секунду, чтобы не наговорить лишнего.
Дева;23 августа — 22 сентября;Не стоит сегодня забывать, что вы не зверь из зоопарка и что никакая клетка не мешает вам покинуть то место, которое вам до смерти осточертело.
Весы;23 сентября — 22 октября;Готовы вы к этому или нет, но сегодня непременно что-то изменится. Будем надеяться, что это будет погода.
Скорпион;23 октября — 21 ноября;Сегодня исключительно благоприятный день для того, чтобы, не тратя значительных сил и средств, умудриться достигнуть желаемого и даже успеть немного возгордиться собственными успехами.
Стрелец;22 ноября — 21 декабря;Сегодня у вас будет реальный шанс сделать мир прекраснее. Правда, не очень понятно, в чем он будет заключаться, но, надо думать, вы и сами догадаетесь.
Козерог;22 декабря — 20 января;Все течет, все меняется, и вам все равно от этого никуда не деться. Сегодня что-то изменится в очередной раз.
Водолей;21 января — 18 февраля;Вы стремитесь следовать сразу во всех направлениях и искренне удивлены тем, что это не слишком хорошо получается. Придется чем-то пожертвовать, установите приоритеты.
Рыбы;19 февраля — 20 марта;Сегодня, к сожалению, ваши прекрасные идеи, сколь бы верными и своевременными они не были, большого толку не принесут. Их лучше не озвучивать по крайней мере до завтра, чтобы не пришлось потом повторяться.
Овен;21 марта — 19 апреля;Сегодня вы можете стать предметом насмешек, однако это вовсе не означает, что что-то делаете неверно. Бог с ними, с убогими, пусть веселятся.
Телец;20 апреля — 20 мая;Сегодня ваша задача - понять, а не изменить ситуацию. Поняв, вы сможете к ней приспособиться, а это обойдется гораздо меньшими усилиями, нежели любая, даже самая минимальная попытка внести коррективы. И, кстати, принесет куда больше пользы.
Близнецы;21 мая — 20 июня;Хотеть не вредно, однако только хотеть, ничего для исполнения желания не делая, все-таки не слишком полезно. Сделайте первый шаг - а там уж как повезет.
Рак;21 июня — 22 июля;Сегодня вы можете познакомится с чрезвычайно интересными людьми, которые раскроют перед вами новые, просто таки чарующие перспективы. Будьте внимательны, вы можете оказаться жертвой обыкновенных жуликов.
Лев;23 июля — 22 августа;Успейте отступить прежде, чем вы серьезно обидите кого-то, кто вам небезразличен. Сегодня вам придется контролировать себя каждую секунду, чтобы не наговорить лишнего.
Дева;23 августа — 22 сентября;Не стоит сегодня забывать, что вы не зверь из зоопарка и что никакая клетка не мешает вам покинуть то место, которое вам до смерти осточертело.
Весы;23 сентября — 22 октября;Готовы вы к этому или нет, но сегодня непременно что-то изменится. Будем надеяться, что это будет погода.
Скорпион;23 октября — 21 ноября;Сегодня исключительно благоприятный день для того, чтобы, не тратя значительных сил и средств, умудриться достигнуть желаемого и даже успеть немного возгордиться собственными успехами.
Стрелец;22 ноября — 21 декабря;Сегодня у вас будет реальный шанс сделать мир прекраснее. Правда, не очень понятно, в чем он будет заключаться, но, надо думать, вы и сами догадаетесь.
Козерог;22 декабря — 20 января;Все течет, все меняется, и вам все равно от этого никуда не деться. Сегодня что-то изменится в очередной раз.
Водолей;21 января — 18 февраля;Вы стремитесь следовать сразу во всех направлениях и искренне удивлены тем, что это не слишком хорошо получается. Придется чем-то пожертвовать, установите приоритеты.
Рыбы;19 февраля — 20 марта;Сегодня, к сожалению, ваши прекрасные идеи, сколь бы верными и своевременными они не были, большого толку не принесут. Их лучше не озвучивать по крайней мере до завтра, чтобы не пришлось потом повторяться.
